set,try,generator,time
1,0,random,0.004028
1,1,random,0.003987
1,2,random,0.003992
1,3,random,0.003989
1,4,random,0.002994
1,5,random,0.003949
1,6,random,0.003038
1,7,random,0.002991
1,8,random,0.003945
1,9,random,0.003037
1,0,numpy,0.005984
1,1,numpy,0.006981
1,2,numpy,0.005984
1,3,numpy,0.006985
1,4,numpy,0.005982
1,5,numpy,0.005985
1,6,numpy,0.005980
1,7,numpy,0.005989
1,8,numpy,0.005980
1,9,numpy,0.005982
2,0,random,0.003994
2,1,random,0.003985
2,2,random,0.003991
2,3,random,0.003990
2,4,random,0.003442
2,5,random,0.002944
2,6,random,0.004035
2,7,random,0.003989
2,8,random,0.003989
2,9,random,0.003990
2,0,numpy,0.005947
2,1,numpy,0.006028
2,2,numpy,0.006979
2,3,numpy,0.006981
2,4,numpy,0.005989
2,5,numpy,0.006977
2,6,numpy,0.005984
2,7,numpy,0.005987
2,8,numpy,0.006978
2,9,numpy,0.005987
3,0,random,0.003990
3,1,random,0.003987
3,2,random,0.003992
3,3,random,0.003989
3,4,random,0.003989
3,5,random,0.003989
3,6,random,0.003988
3,7,random,0.002994
3,8,random,0.002986
3,9,random,0.003990
3,0,numpy,0.006981
3,1,numpy,0.005987
3,2,numpy,0.006952
3,3,numpy,0.007007
3,4,numpy,0.005986
3,5,numpy,0.006976
3,6,numpy,0.005987
3,7,numpy,0.006982
3,8,numpy,0.005984
3,9,numpy,0.006981
4,0,random,0.003989
4,1,random,0.003992
4,2,random,0.003987
4,3,random,0.003992
4,4,random,0.002990
4,5,random,0.003991
4,6,random,0.003990
4,7,random,0.002989
4,8,random,0.004970
4,9,random,0.005006
4,0,numpy,0.005982
4,1,numpy,0.006983
4,2,numpy,0.017061
4,3,numpy,0.007979
4,4,numpy,0.005985
4,5,numpy,0.006981
4,6,numpy,0.005989
4,7,numpy,0.006979
4,8,numpy,0.005981
4,9,numpy,0.005988
5,0,random,0.003985
5,1,random,0.003989
5,2,random,0.002994
5,3,random,0.002990
5,4,random,0.003990
5,5,random,0.003990
5,6,random,0.003951
5,7,random,0.004024
5,8,random,0.002993
5,9,random,0.003989
5,0,numpy,0.005984
5,1,numpy,0.006981
5,2,numpy,0.006947
5,3,numpy,0.006980
5,4,numpy,0.006019
