set,try,generator,time
1,0,random,0.007986
1,1,random,0.004992
1,2,random,0.002988
1,3,random,0.003991
1,4,random,0.003989
1,5,random,0.002992
1,6,random,0.003990
1,7,random,0.003989
1,8,random,0.002991
1,9,random,0.003992
1,0,numpy,0.005936
1,1,numpy,0.007027
1,2,numpy,0.006981
1,3,numpy,0.006974
1,4,numpy,0.005982
1,5,numpy,0.005984
1,6,numpy,0.006981
1,7,numpy,0.005985
1,8,numpy,0.005984
1,9,numpy,0.006980
1,0,os,0.007982
1,1,os,0.006979
1,2,os,0.006983
1,3,os,0.007978
1,4,os,0.008986
1,5,os,0.007974
1,6,os,0.006976
1,7,os,0.007980
1,8,os,0.007977
1,9,os,0.007982
2,0,random,0.003986
2,1,random,0.002997
2,2,random,0.003988
2,3,random,0.003993
2,4,random,0.003987
2,5,random,0.003989
2,6,random,0.003946
2,7,random,0.004040
2,8,random,0.003987
2,9,random,0.003989
2,0,numpy,0.006981
2,1,numpy,0.005984
2,2,numpy,0.006977
2,3,numpy,0.006985
2,4,numpy,0.005986
2,5,numpy,0.006983
2,6,numpy,0.006980
2,7,numpy,0.005986
2,8,numpy,0.006931
2,9,numpy,0.006030
2,0,os,0.007979
2,1,os,0.007978
2,2,os,0.007984
2,3,os,0.007973
2,4,os,0.007982
2,5,os,0.008966
2,6,os,0.007981
2,7,os,0.007980
2,8,os,0.007980
2,9,os,0.007977
3,0,random,0.003993
3,1,random,0.003942
3,2,random,0.004036
3,3,random,0.003986
3,4,random,0.003992
3,5,random,0.003994
3,6,random,0.003986
3,7,random,0.003987
3,8,random,0.003989
3,9,random,0.002995
3,0,numpy,0.006983
3,1,numpy,0.005980
3,2,numpy,0.006982
3,3,numpy,0.006982
3,4,numpy,0.006983
3,5,numpy,0.006977
3,6,numpy,0.005989
3,7,numpy,0.006981
3,8,numpy,0.006979
3,9,numpy,0.006979
3,0,os,0.007979
3,1,os,0.006982
3,2,os,0.008933
3,3,os,0.007977
3,4,os,0.008024
3,5,os,0.007967
3,6,os,0.007979
3,7,os,0.007978
3,8,os,0.007985
3,9,os,0.007974
4,0,random,0.002991
